idno,cntry,age,gndr,hincfel,vote,eisced,w4gq1,w4hq1,w4dq1,w4eq1,w4hq3,w4gq6,w4dq3,w4eq3,w4hq6,w4gq10_b,w4dq4_3,w4eq7,w4hq9,w4gq12_a,w4dq10,w4eq10,w4hq11,w4gq13_b,w4dq12,w4eq12,w4hq14,w4gq14_b,w4dq13_6,w4eq14,w4hq17,w4gq16_a,w4dq15,w4eq17,w4hq20,w4gq17_b
62795,BE,76,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63798,BE,48,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70171,BE,23,2,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74843,BE,58,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84935,BE,70,2,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89057,BE,23,1,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91795,BE,55,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95476,BE,41,1,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97060,BE,48,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69540,CZ,75,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83217,CZ,31,2,4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100633,CZ,50,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114434,CZ,29,2,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114728,CZ,33,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125411,CZ,50,1,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125675,CZ,58,1,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126287,CZ,63,2,3,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128308,CZ,51,2,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131000,CZ,50,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131275,CZ,29,2,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141195,CZ,27,2,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147965,CZ,59,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151978,CZ,56,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59181,FI,41,2,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59862,FI,50,2,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60161,FI,81,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61395,FI,34,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61534,FI,58,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70634,FI,43,1,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71503,FI,71,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72295,FI,65,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76093,FI,36,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55655,FR,47,2,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56159,FR,21,2,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
