demographic,domain,feature_idx,mean_diff,cohens_d,p_value,p_corrected,significant,large_effect,sign_agreement,cv,outlier_ratio,is_noisy,feature_significant,selection_method,layer
vote,digital,9271,0.06382440775632858,0.7985308766365051,0.0,0.0,True,True,0.6988095238095238,1.2522996664047241,0.009523809523809525,False,True,significant,5
vote,digital,2468,0.06317708641290665,1.9565892219543457,0.0,0.0,True,True,0.9383333333333334,0.5110934972763062,0.0004761904761904762,False,True,significant,5
vote,digital,10952,0.055695682764053345,2.1738126277923584,0.0,0.0,True,True,0.965952380952381,0.4600212275981903,0.002380952380952381,False,True,significant,5
vote,digital,10278,0.052366070449352264,1.8114489316940308,0.0,0.0,True,True,0.9128571428571428,0.5520442724227905,0.0007142857142857143,False,True,significant,5
vote,digital,16204,-0.041800595819950104,-0.8660268187522888,0.0,0.0,True,True,0.7016666666666667,1.1546987295150757,0.002142857142857143,False,True,significant,5
vote,digital,8597,-0.038816966116428375,-0.94762122631073,0.0,0.0,True,True,0.7080952380952381,1.0552738904953003,0.0016666666666666668,False,True,significant,5
vote,digital,2649,0.03731956705451012,1.2545671463012695,0.0,0.0,True,True,0.7978571428571428,0.7970876693725586,0.0007142857142857143,False,True,significant,5
vote,digital,10466,-0.035959821194410324,-1.1703094244003296,0.0,0.0,True,True,0.7507142857142857,0.8544748425483704,0.0009523809523809524,False,True,significant,5
vote,digital,3478,0.03564732149243355,0.7436615228652954,0.0,0.0,True,True,0.6585714285714286,1.3446978330612183,0.0011904761904761906,False,True,significant,5
vote,digital,16288,-0.034099701792001724,-0.9858659505844116,0.0,0.0,True,True,0.705,1.0143367052078247,0.002857142857142857,False,True,significant,5
vote,digital,4780,-0.03379464149475098,-1.0701388120651245,0.0,0.0,True,True,0.7388095238095238,0.9344582557678223,0.005714285714285714,False,True,significant,5
vote,digital,2676,0.032537203282117844,0.9439349174499512,0.0,0.0,True,True,0.6914285714285714,1.0593950748443604,0.0002380952380952381,False,True,significant,5
vote,digital,4918,-0.031525298953056335,-0.5221724510192871,3.423155281645037e-222,3.9121774647371853e-222,True,True,0.6142857142857143,1.9150762557983398,0.004047619047619047,False,True,significant,5
vote,digital,8377,0.03039434552192688,0.9098930358886719,0.0,0.0,True,True,0.6678571428571428,1.0990302562713623,0.0011904761904761906,False,True,significant,5
vote,digital,3958,-0.030176712200045586,-0.8234835267066956,0.0,0.0,True,True,0.6692857142857143,1.2143534421920776,0.0035714285714285713,False,True,significant,5
vote,digital,7755,0.02828124910593033,0.9608462452888489,0.0,0.0,True,True,0.6757142857142857,1.040749192237854,0.005714285714285714,False,True,significant,5
vote,digital,13870,0.027916666120290756,0.6428807973861694,0.0,0.0,True,True,0.6130952380952381,1.5554983615875244,0.0009523809523809524,False,True,significant,5
vote,digital,7019,0.027648810297250748,1.1012873649597168,0.0,0.0,True,True,0.705952380952381,0.908028244972229,0.002142857142857143,False,True,significant,5
vote,economy,6373,-0.7763786911964417,-0.961873471736908,1.8912786102400028e-292,3.1016969207936045e-292,True,True,0.9504901960784313,1.039637804031372,0.0,False,True,significant,5
vote,economy,7939,0.42093291878700256,0.5801085233688354,1.1425189677092848e-130,1.3383793621737337e-130,True,True,0.7044117647058824,1.7238154411315918,0.0,False,True,significant,5
vote,economy,9738,0.37244561314582825,0.5591572523117065,1.1241386507832638e-122,1.280269018947606e-122,True,True,0.8504901960784313,1.7884057760238647,0.000980392156862745,False,True,significant,5
vote,economy,15565,0.2919270694255829,0.5107840895652771,7.928128144300332e-105,8.554032997797726e-105,True,True,0.6720588235294118,1.9577745199203491,0.000980392156862745,False,True,significant,5
vote,economy,15501,-0.26793810725212097,-0.4656292796134949,4.9877578703746424e-89,5.1124518171340084e-89,True,True,0.6985294117647058,2.1476311683654785,0.0,False,True,significant,5
vote,economy,8460,-0.20710784196853638,-0.8608191609382629,6.962918034887338e-248,1.0195701408227887e-247,True,True,0.7274509803921568,1.1616841554641724,0.00196078431372549,False,True,significant,5
vote,economy,7605,-0.18345588445663452,-0.4501822292804718,7.742370913711558e-84,7.742370913711558e-84,True,True,0.8705882352941177,2.221322774887085,0.06372549019607843,False,True,significant,5
vote,economy,8840,-0.18085937201976776,-4.027409553527832,0.0,0.0,True,True,1.0,0.24829857051372528,0.0,False,True,significant,5
vote,economy,7205,-0.180177703499794,-2.4377803802490234,0.0,0.0,True,True,0.9931372549019608,0.4102092385292053,0.000980392156862745,False,True,significant,5
vote,economy,14240,0.13893228769302368,1.7893178462982178,0.0,0.0,True,True,0.9676470588235294,0.5588721632957458,0.005392156862745098,False,True,significant,5
vote,economy,1212,0.131878063082695,3.6101815700531006,0.0,0.0,True,True,0.9995098039215686,0.27699437737464905,0.0024509803921568627,False,True,significant,5
